coords,edu_uni_closest_km,edu_uni_less500m,edu_uni_0.5-1km,edu_uni_1-3km,edu_uni_3-5km,edu_uni_5-10km,edu_uni_10-15km
"('55.691526', '37.538134')",1.1639496158398899,0,0,1,0,1,0
"('55.680625', '37.559218')",0.9222032403823058,0,1,0,1,0,1
"('55.68955', '37.56528')",1.5678759996244789,0,0,1,0,1,0
"('55.687497', '37.543327')",0.6483643549273442,0,1,0,1,0,1
"('55.688072', '37.569305')",1.7077719137133898,0,0,1,0,1,0
"('55.67733', '37.571552')",0.7426361437268456,0,1,0,1,0,1
"('55.670585', '37.566243')",0.3859761405065446,1,0,1,0,1,0
"('55.693394', '37.557502')",1.535945324576733,0,0,1,0,1,0
"('55.694205', '37.566503')",1.9608456202705464,0,0,1,0,1,0
"('55.672011', '37.570878')",0.1777674364788843,1,0,1,0,1,0
"('55.689625', '37.564034')",1.5085836941841504,0,0,1,0,1,0
"('55.683036', '37.585655')",1.5939596729258207,0,0,1,0,1,0
"('55.691379', '37.604906')",1.6654189406846114,0,0,1,0,1,0
"('55.688086', '37.565955')",1.5197835162354032,0,0,1,0,1,0
"('55.67855', '37.593623')",1.5633918999090208,0,0,1,0,1,0
"('55.687066', '37.56697')",1.528015195450443,0,0,1,0,1,0
"('55.690268', '37.553873')",1.1198623132770302,0,0,1,0,1,0
"('55.695296', '37.575648')",2.4720127088107566,0,0,1,0,1,0
"('55.683676', '37.582215')",1.565285674425082,0,0,1,0,1,0
"('55.677783', '37.560493')",1.083234460779829,0,0,1,0,1,0
"('55.692506', '37.558454')",1.4876728525826328,0,0,1,0,1,0
"('55.701861', '37.580679')",2.453408911721577,0,0,1,0,1,0
"('55.72386', '37.610054')",1.8774232620645928,0,0,1,0,1,0
"('55.645136', '37.51697')",3.819795863232514,0,0,0,1,0,1
"('55.753169', '37.589796')",0.34153076173428615,1,0,1,0,1,0
"('55.753129', '37.589096')",0.31054551033449573,1,0,1,0,1,0
"('55.753286', '37.59657')",0.7048073172164789,0,1,0,1,0,1
"('55.753114', '37.591566')",0.4197119191681669,1,0,1,0,1,0
"('55.7531212', '37.5903682')",0.36260984227284443,1,0,1,0,1,0
