coords,other_flats_closest_km,other_flats_less500m,other_flats_0.5-1km,other_flats_1-3km,other_flats_3-5km,other_flats_5-10km,other_flats_10-15km
"('55.799866', '37.716057')",0.0,11,16,149,222,1417,1542
"('55.793842', '37.70645')",0.0,5,17,170,267,1506,1631
"('55.788778', '37.715228')",0.0,3,11,161,242,1518,1548
"('55.79851', '37.726733')",0.0,9,11,172,177,1340,1537
"('55.7999917', '37.7223353')",0.0,9,20,151,208,1357,1554
"('55.790464', '37.690605')",0.0,5,18,149,374,1544,1740
"('55.796425', '37.697549')",0.0,4,14,172,289,1542,1640
"('55.7935299', '37.6859761')",0.0,10,14,149,379,1566,1726
"('55.79425', '37.69323')",0.0,8,11,166,327,1546,1693
"('55.795489', '37.697927')",0.0,4,16,168,300,1531,1654
"('55.78969', '37.708904')",0.0,5,11,164,278,1511,1622
"('55.79269', '37.691531')",0.0,7,14,150,359,1539,1722
"('55.798541', '37.689186')",0.0,2,11,160,322,1565,1662
"('55.816409', '37.733545')",0.0,5,21,104,172,1005,1641
"('55.797482', '37.720671')",0.0,11,16,165,191,1419,1517
"('55.800873', '37.716989')",0.0,10,19,148,217,1404,1544
"('55.607214', '37.413017')",0.0,4,5,32,77,530,921
"('55.593245', '37.425689')",0.0,6,0,35,67,562,844
"('55.558518', '37.311656')",0.0,2,3,17,9,206,274
"('55.602312', '37.415613')",0.0,5,3,34,56,541,888
"('55.614312', '37.385448')",0.0,3,0,46,106,416,974
"('55.549786', '37.312999')",0.0,4,4,16,19,157,297
"('55.557851', '37.314746')",0.0,2,4,16,10,208,282
"('55.566445', '37.47987')",0.0,8,12,67,79,434,819
"('55.589187', '37.44538')",0.0,4,7,36,68,610,827
"('55.588323', '37.4576')",0.0,6,8,46,71,609,837
"('55.5527279', '37.3387129')",0.0,8,0,17,20,230,351
"('55.603446', '37.417616')",0.0,5,3,34,64,544,898
"('55.600231', '37.413448')",0.0,4,4,32,53,532,869
"('55.568807', '37.287388')",0.0,3,0,9,14,185,231
"('55.551777', '37.316355')",0.0,4,4,16,15,175,297
"('55.594293', '37.428913')",0.0,6,0,35,74,569,857
"('55.5519175', '37.3435318')",0.0,4,4,14,26,227,370
"('55.5475991', '37.3249159')",0.0,2,9,9,27,166,327
"('55.551254', '37.3366111')",0.0,8,2,15,21,221,344
"('55.614724', '37.384954')",0.0,3,0,46,108,408,982
"('55.593568', '37.46052')",0.0,4,6,34,86,666,831
"('55.566802', '37.478621')",0.0,6,15,63,81,432,822
"('55.591549', '37.425117')",0.0,5,1,30,72,545,848
"('55.551023', '37.314651')",0.0,4,4,16,17,167,295
"('55.591467', '37.452651')",0.0,7,5,37,76,644,827
"('55.549124', '37.313412')",0.0,4,3,17,18,152,303
"('55.5525622', '37.3350953')",0.0,6,4,13,24,221,347
"('55.56614', '37.34276')",0.0,1,0,17,24,278,378
"('55.733624', '37.654448')",0.0,9,19,269,460,1784,2069
"('55.7087011', '37.6453376')",0.0,7,9,201,368,1848,1958
"('55.733361', '37.657053')",0.0,7,25,259,453,1774,2061
"('55.72507', '37.66903')",0.0,12,25,204,363,1800,1970
"('55.724353', '37.644432')",0.0,3,22,268,432,1853,2053
"('55.67383', '37.48961')",0.0,7,19,190,294,1164,1858
"('55.672757', '37.494126')",0.0,10,18,200,312,1158,1884
"('55.671727', '37.495455')",0.0,9,22,202,316,1148,1898
"('55.665431', '37.492662')",0.0,7,17,181,289,1093,1859
"('55.679234', '37.492672')",0.0,7,15,224,262,1284,1805
"('55.667493', '37.493156')",0.0,7,22,189,299,1104,1887
"('55.672844', '37.491431')",0.0,7,16,202,296,1164,1860
"('55.687923', '37.534963')",0.0,12,14,209,369,1572,1917
"('55.661917', '37.492626')",0.0,8,12,179,279,1060,1816
"('55.688989', '37.529358')",0.0,6,19,213,365,1568,1896
"('55.787923', '37.632224')",0.0,12,13,271,498,1740,2049
"('55.786436', '37.640217')",0.0,12,17,265,479,1737,1992
"('55.77665', '37.624454')",0.0,15,33,350,542,1714,2240
"('55.787153', '37.622819')",0.0,1,24,289,507,1757,2074
"('55.788596', '37.641486')",0.0,7,20,244,474,1734,1952
"('55.77872', '37.640461')",0.0,15,22,273,573,1627,2221
"('55.775682', '37.625226')",0.0,16,36,350,551,1702,2261
"('55.783494', '37.633859')",0.0,13,25,278,523,1701,2126
"('55.783398', '37.635098')",0.0,16,20,284,513,1705,2121
"('55.79089', '37.63668')",0.0,7,14,234,484,1724,1970
"('55.773525', '37.629897')",0.0,20,33,337,589,1636,2316
"('55.777598', '37.6219685')",0.0,12,28,357,534,1728,2229
"('55.787853', '37.633194')",0.0,14,12,273,491,1747,2035
"('55.774715', '37.625154')",0.0,17,34,350,558,1698,2268
"('55.78809', '37.634317')",0.0,16,11,265,489,1746,2019
"('55.773933', '37.62679')",0.0,18,35,353,559,1686,2280
"('55.78507', '37.639626')",0.0,15,16,273,487,1727,2028
"('55.784045', '37.635332')",0.0,16,19,282,508,1712,2101
"('55.670757', '37.587712')",0.0,9,20,200,295,1471,1993
"('55.68324', '37.539482')",0.0,10,29,214,355,1530,1953
"('55.681859', '37.539769')",0.0,8,29,215,357,1512,1967
"('55.679417', '37.546112')",0.0,10,24,222,330,1507,2009
"('55.681047', '37.551088')",0.0,4,21,217,326,1564,1979
"('55.763067', '37.605831')",0.0,21,71,427,531,1842,2289
"('55.76174', '37.608311')",0.0,24,47,455,510,1867,2262
"('55.771266', '37.597998')",0.0,29,68,393,551,1766,2273
"('55.762637', '37.600504')",0.0,26,74,416,552,1840,2282
"('55.7705968', '37.5954692')",0.0,27,78,381,566,1762,2272
"('55.764445', '37.59312')",0.0,35,60,429,538,1833,2246
"('55.771565', '37.602885')",0.0,21,59,400,546,1757,2290
"('55.768243', '37.59833')",0.0,30,78,392,549,1785,2284
"('55.76011', '37.591953')",0.0,20,76,406,571,1830,2242
"('55.765069', '37.5912871')",0.0,38,56,433,534,1835,2232
"('55.764577', '37.595842')",0.0,39,58,427,543,1829,2257
"('55.765478', '37.595833')",0.0,39,61,421,539,1829,2249
"('55.765063', '37.607053')",0.0,18,68,426,528,1820,2292
"('55.766309', '37.590623')",0.0,38,58,421,533,1829,2234
"('55.768233', '37.619477')",0.0,19,35,404,529,1766,2288
"('55.761173', '37.599507')",0.0,22,76,411,558,1836,2277
"('55.617856', '37.265711')",0.0,6,0,21,34,160,291
"('55.627727', '37.342984')",0.0,5,4,80,68,266,837
"('55.626303', '37.310895')",0.0,12,4,52,55,173,730
"('55.605', '37.36147')",0.0,9,7,19,112,275,848
"('55.860746', '37.372431')",0.0,4,1,53,80,349,841
"('55.856544', '37.35072')",0.0,6,6,31,60,304,728
"('55.8515', '37.363089')",0.0,3,12,34,88,357,868
"('55.854042', '37.349937')",0.0,9,4,35,54,310,747
"('55.84487', '37.356414')",0.0,5,9,32,77,359,886
"('55.7342195', '37.4108729')",0.0,11,19,139,110,957,1766
"('55.707783', '37.403152')",0.0,5,14,68,174,815,1634
"('55.72271', '37.418354')",0.0,10,23,137,153,1014,1727
"('55.7074', '37.401923')",0.0,5,12,67,169,811,1623
"('55.736786', '37.407005')",0.0,9,22,121,114,919,1766
"('55.745362', '37.416206')",0.0,9,19,100,176,930,1888
"('55.746978', '37.40698')",0.0,6,22,76,165,827,1886
"('55.7246098', '37.4031854')",0.0,5,14,119,125,873,1697
"('55.708739', '37.404133')",0.0,7,11,75,171,822,1637
"('55.7116087', '37.3956923')",0.0,8,14,69,136,803,1575
"('55.712502', '37.403297')",0.0,12,12,85,165,822,1676
"('55.719622', '37.418506')",0.0,8,18,135,160,996,1741
"('55.7130368', '37.4076638')",0.0,7,18,88,173,842,1708
"('55.7187331', '37.4305778')",0.0,14,24,159,184,1093,1796
"('55.711184', '37.40875')",0.0,6,16,83,175,847,1703
"('55.723237', '37.403782')",0.0,6,15,118,125,878,1696
"('55.739858', '37.421874')",0.0,12,20,136,164,1034,1829
"('55.7186535', '37.4004304')",0.0,5,24,93,141,830,1675
"('55.704655', '37.47077')",0.0,5,24,177,292,1383,1720
"('55.688507', '37.518318')",0.0,2,14,219,334,1536,1835
"('55.701708', '37.512237')",0.0,9,13,174,389,1678,1728
"('55.70016', '37.506496')",0.0,12,21,177,368,1644,1712
"('55.623158', '37.300817')",0.0,8,8,45,54,167,622
"('55.61873', '37.266259')",0.0,6,0,22,34,161,297
"('55.2919543', '37.1163118')",0.0,1,0,1,0,2,0
"('55.620169', '37.263052')",0.0,6,0,19,33,159,279
"('55.613941', '37.386813')",0.0,3,0,43,109,419,973
"('55.858246', '37.501905')",0.0,7,16,145,226,1004,1342
"('55.857851', '37.482358')",0.0,7,24,136,215,899,1327
"('55.869445', '37.456657')",0.0,7,8,112,142,729,1088
"('55.848934', '37.48111')",0.0,11,13,155,214,969,1441
"('55.867748', '37.47359')",0.0,6,21,105,183,772,1227
"('55.855564', '37.47527')",0.0,10,12,158,178,907,1312
"('55.86471', '37.475593')",0.0,6,26,122,178,823,1240
"('55.868844', '37.465164')",0.0,8,13,113,161,757,1148
"('55.7422', '37.587236')",0.0,21,49,365,540,1981,1992
"('55.771064', '37.729431')",0.0,9,13,106,313,1387,1626
"('55.839643', '37.659739')",0.0,6,6,100,212,1266,1597
"('55.852257', '37.682129')",0.0,6,1,94,154,917,1591
"('55.632413', '37.415694')",0.0,4,1,64,125,650,997
"('55.631793', '37.412047')",0.0,4,0,64,120,635,974
"('55.619599', '37.417167')",0.0,6,1,35,130,549,995
"('55.638938', '37.42721')",0.0,3,3,64,138,759,1077
"('55.63193', '37.456243')",0.0,1,0,61,191,849,1115
"('55.612375', '37.470599')",0.0,2,0,41,151,800,979
"('55.619544', '37.416251')",0.0,6,1,36,127,546,991
"('55.713309', '37.878326')",0.0,3,8,34,124,342,882
"('55.717918', '37.893175')",0.0,5,12,28,103,312,802
"('55.719395', '37.72776')",0.0,6,12,101,291,1407,1728
"('55.711437', '37.889843')",0.0,7,6,39,97,328,796
"('55.717756', '37.891172')",0.0,4,14,25,108,317,813
"('55.711458', '37.884174')",0.0,6,6,38,109,334,825
"('55.71767', '37.886672')",0.0,5,10,29,116,327,841
"('55.786991', '37.579493')",0.0,5,45,309,567,1731,2088
"('55.792513', '37.565587')",0.0,18,23,297,538,1749,1947
"('55.794993', '37.58376')",0.0,4,20,249,538,1786,1938
"('55.796024', '37.572613')",0.0,15,25,259,533,1772,1893
"('55.764754', '37.564599')",0.0,21,37,427,520,1871,2054
"('55.5526627', '37.3437658')",0.0,4,4,14,26,230,369
"('55.6138', '37.471264')",0.0,2,0,40,155,814,986
"('55.606309', '37.410753')",0.0,4,5,33,74,529,904
"('55.4741509', '37.3065139')",0.0,1,2,15,11,47,111
"('55.64169', '37.409801')",0.0,4,7,64,118,715,997
"('55.892531', '37.671579')",0.0,6,7,56,112,466,1184
"('55.865166', '37.672333')",0.0,7,15,110,111,772,1496
"('55.84724', '37.630975')",0.0,8,13,111,253,1286,1529
"('55.877167', '37.652481')",0.0,6,11,114,140,627,1464
"('55.889386', '37.675532')",0.0,6,8,67,104,498,1196
"('55.872683', '37.683257')",0.0,2,7,102,96,659,1367
"('55.876758', '37.663395')",0.0,1,9,108,131,615,1429
"('55.638917', '37.595043')",0.0,8,20,94,265,1038,1825
"('55.63595', '37.606606')",0.0,11,21,77,244,1032,1738
"('55.877087', '37.549624')",0.0,5,22,121,200,838,1320
"('55.880631', '37.539347')",0.0,11,9,123,194,788,1272
"('55.924845', '37.548546')",0.0,2,6,20,66,406,692
"('55.866465', '37.536895')",0.0,6,16,143,224,969,1354
"('55.862894', '37.569252')",0.0,5,12,141,229,1015,1488
"('55.777277', '37.726008')",0.0,12,16,122,301,1415,1593
"('55.7802395', '37.7269646')",0.0,12,15,123,275,1416,1565
"('55.790868', '37.71362')",0.0,4,13,157,255,1490,1583
"('55.778854', '37.724167')",0.0,11,14,123,288,1447,1567
"('55.771374', '37.73101')",0.0,9,15,100,313,1366,1631
"('55.779084', '37.721678')",0.0,10,16,133,284,1476,1564
"('55.7770912', '37.7234507')",0.0,9,22,122,306,1443,1591
"('55.773383', '37.737021')",0.0,9,15,97,308,1296,1630
"('55.782299', '37.714357')",0.0,2,23,148,281,1523,1580
"('55.772618', '37.735916')",0.0,10,12,98,305,1314,1621
"('55.773636', '37.73217')",0.0,10,18,100,309,1335,1637
"('55.816146', '37.725676')",0.0,10,18,99,207,1080,1646
"('55.77673', '37.722755')",0.0,7,25,120,308,1448,1592
"('55.709682', '37.624336')",0.0,6,19,194,441,1891,1983
"('55.719414', '37.637657')",0.0,6,23,251,425,1878,2044
"('55.734674', '37.408409')",0.0,10,17,133,113,930,1767
"('55.715925', '37.407123')",0.0,8,23,93,167,850,1725
"('55.71907', '37.3968')",0.0,5,18,93,126,810,1655
"('55.71967', '37.41654')",0.0,6,24,125,160,974,1737
"('55.713603', '37.40663')",0.0,7,18,88,173,836,1713
"('55.7243893', '37.4080044')",0.0,7,17,127,129,918,1718
"('55.724167', '37.41173')",0.0,6,20,129,138,953,1737
"('55.722989', '37.384729')",0.0,1,4,86,100,740,1620
"('55.724996', '37.41546')",0.0,7,20,136,141,1002,1724
"('55.718826', '37.406586')",0.0,6,22,105,150,876,1716
"('55.503757', '37.53541')",0.0,6,3,30,55,164,343
"('55.721027', '37.463898')",0.0,9,23,183,259,1532,1659
"('55.723744', '37.464014')",0.0,10,22,175,272,1548,1674
"('55.749714', '37.59428')",0.0,32,45,422,545,1932,2116
"('55.739514', '37.565228')",0.0,5,20,311,530,2014,1858
"('55.754497', '37.592384')",0.0,28,56,423,558,1883,2164
"('55.803396', '37.527122')",0.0,11,37,220,409,1715,1679
"('55.795307', '37.52363')",0.0,9,24,237,459,1740,1752
"('55.759277', '37.7389')",0.0,2,5,102,274,1434,1537
"('55.804734', '37.785647')",0.0,6,23,126,143,714,1475
"('55.766415', '37.740579')",0.0,3,13,89,305,1329,1608
"('55.767215', '37.742789')",0.0,3,13,83,311,1285,1624
"('55.76898', '37.72979')",0.0,7,14,102,324,1398,1631
"('55.779099', '37.708167')",0.0,7,17,164,305,1568,1642
"('55.79131', '37.659782')",0.0,4,12,192,428,1706,1791
"('55.794786', '37.652984')",0.0,4,4,213,420,1721,1779
"('55.794161', '37.652784')",0.0,4,5,213,430,1716,1794
"('55.785245', '37.682188')",0.0,5,19,158,404,1627,1784
"('55.789264', '37.693507')",0.0,5,20,155,357,1546,1717
"('55.785746', '37.69286')",0.0,4,15,164,354,1586,1717
"('55.794968', '37.653577')",0.0,4,3,211,413,1721,1776
"('55.655045', '37.382843')",0.0,2,6,72,71,679,921
"('55.642428', '37.416476')",0.0,4,7,58,135,735,1046
"('55.655899', '37.401123')",0.0,4,12,57,104,762,1031
"('55.65658', '37.404788')",0.0,6,10,53,105,787,1051
"('55.645335', '37.416389')",0.0,4,6,58,133,752,1077
"('55.64898', '37.41053')",0.0,4,13,51,128,759,1052
"('55.64284', '37.409816')",0.0,5,6,65,115,728,1003
"('55.64905', '37.402866')",0.0,4,19,53,117,732,1019
"('55.655585', '37.490802')",0.0,7,13,171,245,1040,1727
"('55.648138', '37.414679')",0.0,3,13,49,136,772,1070
"('55.652832', '37.406989')",0.0,5,10,55,113,775,1034
"('55.760434', '37.715767')",0.0,5,13,133,336,1589,1664
"('55.766734', '37.727427')",0.0,5,11,109,318,1448,1629
"('55.86695', '37.659245')",0.0,5,18,127,123,762,1577
"('55.77224', '37.731136')",0.0,9,16,101,315,1354,1639
"('55.822412', '37.432043')",0.0,8,4,103,214,878,1518
"('55.8366204', '37.4572201')",0.0,2,7,136,235,879,1565
"('55.822244', '37.435869')",0.0,6,5,99,233,888,1543
"('55.825401', '37.455238')",0.0,2,7,109,310,940,1625
"('55.81883', '37.428996')",0.0,6,5,90,217,890,1499
"('55.836721', '37.461625')",0.0,4,6,136,236,916,1573
"('55.823778', '37.452749')",0.0,2,6,99,310,940,1625
"('55.840218', '37.463215')",0.0,5,3,143,216,921,1520
"('55.75396', '37.620393')",0.0,2,17,450,544,1835,2239
"('55.821779', '37.43757')",0.0,6,6,98,243,901,1550
"('55.829866', '37.412379')",0.0,4,4,96,142,736,1384
"('55.827722', '37.42598')",0.0,1,10,106,174,828,1475
"('55.82848', '37.448044')",0.0,1,5,110,269,875,1598
"('55.815417', '37.426119')",0.0,4,6,84,190,911,1465
"('55.821077', '37.430462')",0.0,8,4,98,211,883,1513
"('55.820729', '37.423922')",0.0,3,12,84,193,848,1488
"('55.818139', '37.431594')",0.0,5,6,88,227,915,1497
"('55.821917', '37.438614')",0.0,5,6,96,250,906,1549
"('55.825444', '37.412013')",0.0,4,4,88,135,758,1417
"('55.825683', '37.413192')",0.0,4,4,92,137,766,1416
"('55.814746', '37.424309')",0.0,2,9,79,186,899,1462
"('55.848357', '37.351195')",0.0,6,12,28,66,326,804
"('55.809024', '37.475441')",0.0,2,13,160,311,1358,1571
"('55.770294', '37.636974')",0.0,9,45,303,618,1595,2359
"('55.7628702', '37.6436995')",0.0,20,35,295,619,1614,2321
"('55.76317', '37.64408')",0.0,20,34,297,618,1615,2320
"('55.769367', '37.635593')",0.0,12,45,312,621,1604,2366
"('55.76709', '37.639545')",0.0,12,44,291,624,1610,2355
"('55.763234', '37.64295')",0.0,20,32,304,616,1620,2323
"('55.767539', '37.627885')",0.0,14,42,370,570,1711,2314
"('55.76697', '37.624886')",0.0,17,41,383,571,1722,2328
"('55.763457', '37.636024')",0.0,14,36,344,590,1657,2341
"('55.7675455', '37.6251245')",0.0,17,42,377,566,1723,2318
"('55.729975', '37.76106')",0.0,5,8,122,211,1196,1547
"('55.728221', '37.763971')",0.0,8,7,137,184,1178,1533
"('55.7291994', '37.7627259')",0.0,7,9,133,192,1191,1534
"('55.724789', '37.744738')",0.0,10,18,110,262,1266,1665
"('55.724723', '37.743067')",0.0,13,15,110,262,1282,1669
"('55.816508', '37.466976')",0.0,8,5,122,338,1165,1599
"('55.8135405', '37.4701125')",0.0,6,11,129,338,1219,1620
"('55.812934', '37.469296')",0.0,6,13,125,339,1222,1619
"('55.819949', '37.465892')",0.0,4,10,119,339,1097,1627
"('55.805083', '37.421425')",0.0,6,9,67,194,966,1439
"('55.801617', '37.406155')",0.0,7,15,41,154,882,1365
"('55.795388', '37.405157')",0.0,2,10,35,160,891,1393
"('55.80963', '37.414276')",0.0,4,16,53,179,869,1420
"('55.78426', '37.475513')",0.0,18,29,160,308,1581,1688
"('55.805832', '37.414383')",0.0,10,9,58,175,911,1403
"('55.799446', '37.39214')",0.0,3,8,34,115,843,1241
"('55.81784', '37.397907')",0.0,5,5,64,123,720,1332
"('55.815662', '37.400227')",0.0,7,6,59,126,742,1355
"('55.797386', '37.3934201')",0.0,2,7,35,117,847,1255
"('55.813612', '37.406019')",0.0,4,10,56,144,783,1406
"('55.802185', '37.40648')",0.0,8,17,42,155,881,1363
"('55.804273', '37.396793')",0.0,4,14,36,122,832,1296
"('55.809762', '37.392302')",0.0,4,12,42,112,758,1277
"('55.748645', '37.558571')",0.0,16,21,375,499,2015,1876
"('55.746922', '37.556864')",0.0,14,25,352,500,2023,1844
"('55.772518', '37.6207122')",0.0,16,41,359,558,1707,2291
"('55.772902', '37.628586')",0.0,20,33,349,572,1663,2299
"('55.769251', '37.628451')",0.0,19,35,363,566,1704,2305
"('55.780097', '37.630814')",0.0,9,41,299,552,1691,2201
"('55.771418', '37.629358')",0.0,22,33,348,586,1657,2317
"('55.774527', '37.622962')",0.0,16,36,351,561,1706,2270
"('55.774046', '37.625433')",0.0,21,31,357,555,1702,2266
"('55.83956', '37.46449')",0.0,4,2,145,217,931,1529
"('55.854267', '37.42968')",0.0,8,24,83,193,654,1248
"('55.864015', '37.431873')",0.0,5,18,84,163,610,1116
"('55.862257', '37.44753')",0.0,4,9,128,144,739,1183
"('55.843389', '37.431962')",0.0,5,16,99,208,710,1449
"('55.8530817', '37.4424994')",0.0,5,17,113,183,747,1329
"('55.865696', '37.444107')",0.0,5,10,113,144,692,1120
"('55.85105', '37.434514')",0.0,7,26,89,200,692,1351
"('55.863379', '37.430714')",0.0,6,17,85,164,603,1127
"('55.850555', '37.415263')",0.0,10,15,82,160,621,1196
"('55.846962', '37.426267')",0.0,7,17,85,215,664,1351
"('55.860382', '37.417896')",0.0,8,13,71,160,553,1074
"('55.84447', '37.44994')",0.0,6,12,147,178,853,1401
"('55.627615', '37.518389')",0.0,5,12,107,181,963,1411
"('55.630589', '37.484128')",0.0,6,7,83,193,913,1269
"('55.622395', '37.48818')",0.0,5,8,64,173,898,1173
"('55.61875', '37.491143')",0.0,6,5,62,159,897,1117
"('55.627361', '37.478628')",0.0,2,11,63,205,880,1193
"('55.619594', '37.499031')",0.0,4,8,74,139,936,1157
"('55.619147', '37.497872')",0.0,6,6,72,137,934,1137
"('55.630162', '37.521551')",0.0,7,10,104,219,940,1516
"('55.623265', '37.489976')",0.0,5,9,70,169,910,1202
"('55.624466', '37.489524')",0.0,5,9,70,172,913,1214
"('55.619802', '37.497764')",0.0,5,7,77,137,936,1149
"('55.613636', '37.493004')",0.0,3,4,48,159,866,1074
"('55.633617', '37.483095')",0.0,5,5,97,189,915,1317
"('55.758818', '37.592366')",0.0,22,68,415,555,1858,2211
"('55.762839', '37.606586')",0.0,24,66,432,529,1841,2287
"('55.714054', '37.730104')",0.0,7,12,106,281,1321,1799
"('55.711823', '37.733949')",0.0,6,8,114,275,1264,1787
"('55.721786', '37.736179')",0.0,9,24,109,275,1337,1690
"('55.715576', '37.730697')",0.0,9,9,114,277,1330,1774
"('55.714125', '37.733132')",0.0,7,13,109,275,1297,1763
"('55.81551', '37.584118')",0.0,7,13,132,418,1775,1617
"('55.847861', '37.650055')",0.0,3,14,105,218,1178,1599
"('55.799502', '37.611437')",0.0,6,11,239,466,1836,1850
"('55.757996', '37.542652')",0.0,12,24,291,583,1851,1960
"('55.7522727', '37.5266276')",0.0,8,24,221,581,1817,1908
"('55.760996', '37.513628')",0.0,19,16,239,475,1777,1898
"('55.759886', '37.519027')",0.0,12,26,237,540,1761,1933
"('55.75133', '37.526896')",0.0,9,22,217,587,1818,1908
"('55.755302', '37.52503')",0.0,9,28,232,584,1797,1925
"('55.7578', '37.540138')",0.0,9,25,276,593,1838,1959
"('55.758156', '37.519592')",0.0,12,30,225,553,1768,1925
"('55.7628769', '37.5427501')",0.0,8,17,310,598,1798,2012
"('55.766754', '37.566395')",0.0,26,28,431,527,1848,2077
"('55.763416', '37.547028')",0.0,8,25,346,560,1844,1990
"('55.760082', '37.53666')",0.0,7,20,271,614,1789,1986
"('55.757409', '37.542186')",0.0,12,25,280,586,1853,1953
"('55.760494', '37.518551')",0.0,12,24,237,539,1750,1941
"('55.764059', '37.512914')",0.0,13,21,224,483,1736,1930
"('55.758073', '37.547144')",0.0,14,21,347,538,1911,1919
"('55.823924', '37.56847')",0.0,6,11,126,368,1701,1512
"('55.81563', '37.585133')",0.0,7,14,134,407,1791,1599
"('55.821441', '37.582763')",0.0,5,16,113,381,1734,1544
"('55.81821', '37.587964')",0.0,10,9,131,393,1786,1552
"('55.824106', '37.570357')",0.0,6,12,122,370,1702,1520
"('55.824299', '37.566252')",0.0,6,8,133,361,1694,1505
"('55.82562', '37.577267')",0.0,6,12,101,376,1690,1512
"('55.73943', '37.638313')",0.0,13,33,308,584,1709,2249
"('55.736959', '37.61556')",0.0,12,31,337,596,1842,2156
"('55.736909', '37.62599')",0.0,12,42,314,591,1787,2181
"('55.86425', '37.429108')",0.0,7,13,86,161,590,1104
"('55.854047', '37.420491')",0.0,10,21,66,193,593,1217
"('55.83845', '37.388511')",0.0,4,5,73,111,568,1095
"('55.861489', '37.417544')",0.0,7,12,75,151,554,1056
"('55.845688', '37.42669')",0.0,7,16,90,212,672,1390
"('55.82496', '37.412477')",0.0,3,5,88,132,767,1418
"('55.85337', '37.409648')",0.0,8,12,85,137,589,1092
"('55.840791', '37.379043')",0.0,7,8,62,115,490,1033
"('55.84869', '37.436203')",0.0,7,26,101,197,722,1385
"('55.85434', '37.432034')",0.0,7,25,87,184,669,1271
"('55.65069', '37.468346')",0.0,4,12,103,234,946,1507
"('55.65161', '37.482018')",0.0,5,21,139,243,1001,1578
"('55.65055', '37.489014')",0.0,6,22,162,221,1033,1578
"('55.655447', '37.487829')",0.0,8,15,162,253,1020,1712
"('55.63194', '37.48322')",0.0,5,5,88,196,912,1287
"('55.632586', '37.476752')",0.0,6,3,84,201,905,1246
"('55.644145', '37.473492')",0.0,6,10,94,221,932,1394
"('55.656428', '37.481576')",0.0,4,29,137,274,993,1695
"('55.651978', '37.486005')",0.0,7,23,149,246,1010,1616
"('55.647163', '37.468192')",0.0,3,11,91,231,921,1431
"('55.646406', '37.482592')",0.0,6,19,127,215,976,1489
"('55.645893', '37.477022')",0.0,6,14,106,220,957,1438
"('55.632753', '37.474004')",0.0,4,4,78,213,894,1230
"('55.64541', '37.481873')",0.0,8,16,122,212,973,1458
"('55.64664', '37.47969')",0.0,7,15,122,212,973,1471
"('55.645131', '37.487892')",0.0,9,14,151,199,991,1487
"('55.654041', '37.489931')",0.0,6,14,165,241,1043,1683
"('55.713654', '37.607655')",0.0,7,29,214,452,1887,2004
"('55.71019', '37.6180324')",0.0,13,15,197,442,1899,1970
"('55.7660893', '37.6114805')",0.0,18,53,437,515,1808,2289
"('55.844395', '37.449093')",0.0,7,10,147,178,849,1405
"('55.7212377', '37.6943255')",0.0,9,0,170,341,1609,1910
"('55.71947', '37.694398')",0.0,9,0,162,346,1599,1912
"('55.770622', '37.560394')",0.0,9,37,390,544,1850,2030
"('55.764236', '37.54028')",0.0,4,13,305,617,1768,2022
"('55.770306', '37.56461')",0.0,18,29,410,533,1848,2060
"('55.774796', '37.556316')",0.0,7,20,364,559,1816,2014
"('55.757584', '37.555653')",0.0,12,32,396,490,1988,1882
"('55.770573', '37.562954')",0.0,12,33,392,549,1841,2061
"('55.820855', '37.632772')",0.0,5,15,121,290,1708,1437
"('55.822544', '37.629135')",0.0,6,10,136,260,1740,1396
"('55.797701', '37.610754')",0.0,5,12,258,464,1845,1864
"('55.601284', '37.586166')",0.0,8,9,76,136,846,1044
"('55.608709', '37.590012')",0.0,5,9,79,164,894,1138
"('55.544494', '37.545527')",0.0,5,12,58,102,301,741
"('55.524355', '37.513961')",0.0,6,2,58,80,215,469
"('55.532966', '37.527265')",0.0,4,7,64,104,241,601
"('55.535061', '37.5418826')",0.0,2,4,63,89,271,606
"('55.547056', '37.545968')",0.0,7,11,63,97,325,761
"('55.549261', '37.545402')",0.0,5,13,64,92,339,779
"('55.709491', '37.9426752')",0.0,5,11,31,31,176,476
"('55.708455', '37.925838')",0.0,6,12,46,30,235,542
"('55.830407', '37.580104')",0.0,3,9,81,385,1615,1474
"('55.851677', '37.633286')",0.0,6,24,112,245,1168,1560
"('55.87275', '37.712568')",0.0,5,8,40,86,596,1211
"('55.566445', '37.568129')",0.0,5,14,47,108,459,888
"('55.565493', '37.56777')",0.0,5,14,47,107,453,883
"('55.565646', '37.564123')",0.0,3,11,48,118,439,899
"('55.546287', '37.555598')",0.0,9,12,53,96,321,742
"('55.552408', '37.552157')",0.0,6,11,58,99,352,810
"('55.561232', '37.586176')",0.0,3,10,51,83,457,807
"('55.537792', '37.57569')",0.0,5,0,42,78,288,608
"('55.684654', '37.531586')",0.0,13,20,221,359,1513,1922
"('55.684777', '37.524597')",0.0,9,18,218,361,1467,1921
"('55.685806', '37.8624')",0.0,4,7,19,96,428,781
"('55.72161', '37.8988')",0.0,5,6,35,80,298,758
"('55.86932', '37.500324')",0.0,6,16,134,186,880,1223
"('55.717424', '37.496474')",0.0,6,18,205,284,1798,1552
"('55.73407', '37.490883')",0.0,7,12,180,337,1792,1603
"('55.618878', '37.4144')",0.0,6,1,37,125,535,991
